iter	Passed	Remaining
0	2	216
1	3	176
2	4	147
3	5	137
4	7	146
5	9	142
6	10	141
7	12	145
8	14	144
9	15	142
10	16	137
11	18	135
12	19	133
13	21	131
14	22	126
15	23	122
16	24	118
17	25	115
18	26	113
19	27	109
20	27	105
21	28	101
22	29	97
23	29	94
24	30	91
25	31	88
26	31	85
27	32	82
28	32	80
29	33	77
30	33	75
31	34	72
32	34	70
33	34	67
34	35	65
35	36	64
36	36	62
37	36	60
38	37	58
39	37	56
40	38	55
41	38	53
42	38	51
43	39	49
44	39	48
45	40	46
46	40	45
47	40	44
48	41	42
49	41	41
50	42	40
51	42	39
52	43	38
53	43	37
54	43	35
55	44	34
56	44	33
57	45	32
58	45	31
59	46	30
60	46	29
61	47	28
62	47	27
63	48	27
64	48	26
65	49	25
66	49	24
67	50	23
68	50	22
69	50	21
70	51	20
71	51	20
72	52	19
73	52	18
74	53	17
75	53	16
76	53	16
77	54	15
78	54	14
79	55	13
80	55	13
81	56	12
82	56	11
83	56	10
84	57	10
85	57	9
86	58	8
87	58	7
88	59	7
89	59	6
90	60	5
91	60	5
92	61	4
93	61	3
94	62	3
95	62	2
96	63	1
97	63	1
98	63	0
99	64	0
